"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2018","6,430.78","6,399.47","6,464.06","6,397.82","-","0.39%"
"Sep 21, 2018","6,405.86","6,355.88","6,405.86","6,314.59","-","0.92%"
"Sep 20, 2018","6,347.45","6,370.35","6,421.05","6,347.45","-","-0.21%"
"Sep 19, 2018","6,361.00","6,345.24","6,382.07","6,334.00","-","0.47%"
"Sep 18, 2018","6,331.42","6,253.01","6,333.02","6,238.65","-","1.40%"
"Sep 17, 2018","6,244.29","6,265.88","6,300.14","6,236.77","-","-0.03%"
"Sep 14, 2018","6,246.12","6,246.63","6,317.54","6,184.63","-","0.24%"
"Sep 13, 2018","6,231.18","6,122.27","6,319.39","6,118.10","-","1.83%"
"Sep 12, 2018","6,119.39","6,037.78","6,119.78","6,031.62","-","1.66%"
"Sep 11, 2018","6,019.23","6,036.27","6,054.12","5,981.89","-","-0.28%"
"Sep 10, 2018","6,036.31","6,099.12","6,122.62","5,998.58","-","-0.89%"
"Sep 07, 2018","6,090.37","6,079.68","6,131.45","6,058.53","-","0.34%"
"Sep 06, 2018","6,069.94","6,176.92","6,206.33","6,069.94","-","-1.65%"
"Sep 05, 2018","6,171.50","6,213.16","6,261.99","6,171.50","-","-1.02%"
"Sep 04, 2018","6,234.95","6,272.50","6,314.33","6,203.76","-","-0.52%"
"Sep 03, 2018","6,267.62","6,270.82","6,294.58","6,232.66","-","-0.28%"
"Aug 31, 2018","6,285.21","6,160.26","6,285.21","6,134.56","-","1.83%"
"Aug 30, 2018","6,172.54","6,296.36","6,299.68","6,158.46","-","-1.58%"
"Aug 29, 2018","6,271.32","6,223.55","6,271.32","6,200.19","-","0.78%"
"Aug 28, 2018","6,222.94","6,266.32","6,288.15","6,216.21","-","-0.54%"
"Aug 27, 2018","6,256.94","6,143.09","6,258.40","6,112.31","-","2.42%"
"Aug 24, 2018","6,109.13","6,099.35","6,146.08","6,012.37","-","-0.05%"
"Aug 23, 2018","6,112.44","6,261.34","6,271.28","6,103.00","-","-2.24%"
"Aug 22, 2018","6,252.78","6,333.22","6,344.07","6,247.98","-","-1.09%"
"Aug 21, 2018","6,321.48","6,331.84","6,345.32","6,292.07","-","-0.03%"
"Aug 20, 2018","6,323.52","6,340.45","6,359.84","6,300.41","-","0.31%"
"Aug 17, 2018","6,304.25","6,301.01","6,305.30","6,253.38","-","0.21%"
"Aug 16, 2018","6,291.22","6,304.45","6,328.45","6,272.26","-","0.15%"
"Aug 15, 2018","6,281.57","6,372.87","6,385.47","6,263.24","-","-1.47%"
"Aug 14, 2018","6,375.10","6,362.52","6,392.70","6,299.26","-","1.00%"
"Aug 13, 2018","6,311.78","6,267.38","6,444.49","6,262.05","-","-0.36%"
"Aug 10, 2018","6,334.32","6,473.63","6,554.09","6,318.67","-","-3.13%"
"Aug 09, 2018","6,539.27","6,450.89","6,539.27","6,283.25","-","0.55%"
"Aug 08, 2018","6,503.60","6,619.99","6,633.10","6,487.35","-","-1.96%"
"Aug 07, 2018","6,633.85","6,684.96","6,735.19","6,633.85","-","-0.43%"
"Aug 06, 2018","6,662.66","6,641.43","6,684.44","6,587.46","-","0.43%"
"Aug 03, 2018","6,633.88","6,592.81","6,633.88","6,555.03","-","0.55%"
"Aug 02, 2018","6,597.76","6,736.74","6,743.40","6,574.89","-","-2.27%"
"Aug 01, 2018","6,750.78","6,792.51","6,859.31","6,745.22","-","-0.92%"
"Jul 31, 2018","6,813.50","6,782.28","6,818.92","6,769.47","-","0.26%"
"Jul 30, 2018","6,796.07","6,691.66","6,808.57","6,680.34","-","1.27%"
"Jul 27, 2018","6,711.11","6,679.64","6,732.14","6,642.00","-","0.55%"
"Jul 26, 2018","6,674.56","6,713.20","6,718.30","6,638.01","-","-0.13%"
"Jul 25, 2018","6,682.99","6,694.17","6,707.64","6,625.00","-","-1.07%"
"Jul 24, 2018","6,755.52","6,725.99","6,760.92","6,714.22","-","0.79%"
"Jul 23, 2018","6,702.73","6,703.19","6,762.06","6,696.07","-","0.34%"
"Jul 20, 2018","6,680.28","6,714.17","6,771.43","6,631.62","-","-0.44%"
"Jul 19, 2018","6,710.13","6,835.43","6,835.43","6,697.82","-","-1.71%"
"Jul 18, 2018","6,826.62","6,891.85","6,906.81","6,813.89","-","-0.86%"
"Jul 17, 2018","6,886.17","6,942.87","6,942.87","6,856.79","-","-1.06%"
"Jul 16, 2018","6,960.28","6,991.98","7,017.56","6,928.78","-","-0.47%"
"Jul 13, 2018","6,992.82","6,951.63","6,997.87","6,940.10","-","0.95%"
"Jul 12, 2018","6,927.20","6,968.38","6,979.14","6,910.68","-","-0.73%"
"Jul 11, 2018","6,978.30","7,009.84","7,009.84","6,944.98","-","-0.93%"
"Jul 10, 2018","7,043.65","7,044.15","7,055.16","7,002.27","-","0.16%"
"Jul 09, 2018","7,032.42","6,992.92","7,039.55","6,976.19","-","1.12%"
"Jul 06, 2018","6,954.46","6,919.89","6,974.54","6,896.29","-","0.46%"
"Jul 05, 2018","6,922.87","6,861.07","6,923.37","6,844.83","-","0.90%"
"Jul 04, 2018","6,861.18","6,896.62","6,910.28","6,850.16","-","-0.40%"
"Jul 03, 2018","6,888.60","6,935.12","6,951.62","6,872.58","-","-0.42%"
"Jul 02, 2018","6,917.60","6,898.48","6,962.81","6,873.34","-","0.19%"
"Jun 29, 2018","6,904.75","6,895.34","6,980.93","6,894.13","-","0.75%"
"Jun 28, 2018","6,853.27","6,847.93","6,928.99","6,846.17","-","0.05%"
"Jun 27, 2018","6,849.58","6,795.06","6,872.12","6,755.19","-","1.14%"
"Jun 26, 2018","6,772.57","6,836.64","6,873.39","6,767.77","-","-0.50%"
"Jun 25, 2018","6,806.57","6,832.92","6,872.51","6,806.57","-","-1.34%"
"Jun 22, 2018","6,899.20","6,865.25","6,911.16","6,821.55","-","0.86%"
"Jun 21, 2018","6,840.08","6,864.01","6,900.81","6,822.37","-","-0.40%"
"Jun 20, 2018","6,867.73","6,752.98","6,874.78","6,757.96","-","2.18%"
"Jun 19, 2018","6,721.14","6,776.39","6,778.03","6,678.43","-","-1.17%"
"Jun 18, 2018","6,800.96","6,801.07","6,859.28","6,769.89","-","-0.27%"
"Jun 15, 2018","6,819.17","6,822.53","6,828.92","6,752.69","-","0.03%"
"Jun 14, 2018","6,816.84","6,748.19","6,824.89","6,743.60","-","0.81%"
"Jun 13, 2018","6,761.85","6,694.35","6,780.49","6,688.27","-","1.06%"
"Jun 11, 2018","6,691.19","6,749.22","6,760.63","6,635.81","-","-0.84%"
"Jun 09, 2018","6,747.87","6,736.21","6,756.14","6,727.69","-","0.53%"
"Jun 08, 2018","6,712.45","6,829.85","6,829.85","6,712.10","-","-1.83%"
"Jun 07, 2018","6,837.76","6,938.88","6,953.09","6,837.76","-","-1.16%"
"Jun 06, 2018","6,918.05","6,951.00","6,951.00","6,886.37","-","-0.38%"
"Jun 05, 2018","6,944.13","6,985.27","7,005.23","6,914.76","-","-0.58%"
"Jun 04, 2018","6,984.74","7,030.27","7,047.85","6,960.45","-","-0.25%"
"Jun 01, 2018","7,002.31","6,996.68","7,048.23","6,974.60","-","-1.34%"
"May 31, 2018","7,097.09","7,155.78","7,167.41","7,051.37","-","-0.48%"
"May 30, 2018","7,131.59","7,124.35","7,152.08","7,106.86","-","0.26%"
"May 29, 2018","7,112.77","7,173.64","7,189.59","7,088.95","-","-0.73%"
"May 28, 2018","7,164.87","7,165.82","7,199.39","7,151.00","-","0.05%"
"May 25, 2018","7,161.53","7,188.96","7,211.71","7,152.21","-","-0.27%"
"May 24, 2018","7,181.24","7,218.93","7,227.57","7,168.05","-","-0.14%"
"May 23, 2018","7,191.58","7,259.55","7,267.56","7,191.58","-","-1.22%"
"May 22, 2018","7,280.65","7,334.94","7,381.60","7,276.32","-","-0.60%"
"May 21, 2018","7,324.78","7,316.92","7,355.71","7,292.42","-","0.38%"
"May 18, 2018","7,297.40","7,277.75","7,322.90","7,255.89","-","0.29%"
"May 17, 2018","7,276.06","7,338.53","7,347.44","7,276.06","-","-0.62%"
"May 16, 2018","7,321.24","7,279.77","7,363.21","7,267.55","-","0.21%"
"May 15, 2018","7,305.60","7,416.66","7,428.06","7,294.33","-","-1.91%"
"May 14, 2018","7,448.03","7,394.64","7,448.03","7,379.37","-","-0.35%"
"May 11, 2018","7,474.04","7,432.44","7,485.06","7,427.16","-","1.01%"
"May 10, 2018","7,399.54","7,385.14","7,420.00","7,371.48","-","1.06%"
"May 08, 2018","7,322.02","7,319.36","7,330.17","7,263.85","-","-0.36%"
"May 07, 2018","7,348.15","7,389.35","7,389.35","7,336.66","-","0.04%"
"May 04, 2018","7,345.53","7,377.54","7,388.56","7,300.23","-","0.33%"
"May 03, 2018","7,321.30","7,333.62","7,399.17","7,321.30","-","-0.36%"
"May 02, 2018","7,347.69","7,312.15","7,387.88","7,296.47","-","0.00%"
"Apr 30, 2018","7,347.66","7,264.85","7,347.66","7,241.50","-","1.13%"
"Apr 28, 2018","7,265.61","7,226.02","7,266.52","7,210.14","-","0.56%"
"Apr 27, 2018","7,225.46","7,170.53","7,225.46","7,097.84","-","1.65%"
"Apr 26, 2018","7,108.01","7,089.03","7,129.45","7,041.31","-","0.55%"
"Apr 25, 2018","7,068.83","7,065.41","7,106.24","7,032.89","-","-0.45%"
"Apr 24, 2018","7,100.73","7,132.86","7,173.44","7,096.65","-","0.17%"
"Apr 23, 2018","7,088.91","7,095.97","7,117.62","7,018.12","-","0.03%"
"Apr 20, 2018","7,086.80","7,045.89","7,086.80","7,021.48","-","0.54%"
"Apr 19, 2018","7,048.49","7,093.26","7,147.82","7,006.67","-","-0.33%"
"Apr 18, 2018","7,071.58","6,981.08","7,131.40","6,969.45","-","1.70%"
"Apr 17, 2018","6,953.41","6,951.22","6,971.10","6,894.54","-","2.28%"
"Apr 16, 2018","6,798.48","6,779.95","6,889.43","6,758.37","-","-0.92%"
"Apr 13, 2018","6,861.34","7,017.12","7,044.96","6,831.54","-","-1.86%"
"Apr 12, 2018","6,991.16","6,967.69","7,050.71","6,939.56","-","1.37%"
"Apr 11, 2018","6,896.69","6,934.93","7,101.30","6,839.06","-","-1.07%"
"Apr 10, 2018","6,971.30","6,863.11","7,075.45","6,784.95","-","1.26%"
"Apr 09, 2018","6,884.29","7,586.75","7,586.75","6,884.29","-","-9.72%"
"Apr 06, 2018","7,625.80","7,590.82","7,663.30","7,586.52","-","0.21%"
"Apr 05, 2018","7,609.73","7,511.94","7,609.73","7,504.38","-","1.83%"
"Apr 04, 2018","7,473.14","7,502.10","7,502.10","7,427.64","-","-0.05%"
"Apr 03, 2018","7,477.25","7,413.22","7,488.28","7,375.82","-","0.73%"
"Apr 02, 2018","7,422.78","7,510.91","7,531.61","7,422.78","-","-1.16%"
"Mar 30, 2018","7,509.97","7,500.97","7,509.97","7,478.92","-","0.42%"
"Mar 29, 2018","7,478.77","7,457.53","7,526.78","7,457.53","-","0.66%"
"Mar 28, 2018","7,430.09","7,470.69","7,487.84","7,427.83","-","-1.05%"
"Mar 27, 2018","7,508.75","7,488.54","7,548.61","7,467.56","-","0.75%"
"Mar 26, 2018","7,452.98","7,637.59","7,647.10","7,452.98","-","-2.62%"
"Mar 23, 2018","7,653.35","7,610.55","7,664.43","7,535.43","-","-0.40%"
"Mar 22, 2018","7,684.32","7,785.48","7,791.30","7,643.10","-","-0.95%"
"Mar 21, 2018","7,758.24","7,656.15","7,758.24","7,646.74","-","1.56%"
"Mar 20, 2018","7,638.84","7,649.22","7,649.22","7,543.45","-","0.12%"
"Mar 19, 2018","7,629.45","7,688.01","7,706.26","7,618.43","-","-0.55%"
"Mar 16, 2018","7,671.72","7,620.27","7,671.72","7,546.76","-","0.81%"
"Mar 15, 2018","7,609.72","7,632.29","7,684.41","7,600.41","-","-0.09%"
"Mar 14, 2018","7,616.91","7,840.72","7,846.02","7,616.91","-","-3.21%"
"Mar 13, 2018","7,869.66","7,843.52","7,869.66","7,777.98","-","0.44%"
"Mar 12, 2018","7,835.51","7,950.48","7,956.71","7,831.15","-","-0.69%"
"Mar 09, 2018","7,890.29","7,748.91","7,890.29","7,745.09","-","1.68%"
"Mar 07, 2018","7,759.77","7,707.55","7,766.22","7,661.04","-","0.30%"
"Mar 06, 2018","7,736.74","7,738.02","7,783.43","7,715.83","-","0.47%"
"Mar 05, 2018","7,700.78","7,667.56","7,753.19","7,667.56","-","0.78%"
"Mar 02, 2018","7,640.87","7,658.02","7,720.66","7,603.97","-","-0.18%"
"Mar 01, 2018","7,654.35","7,588.29","7,682.80","7,586.42","-","0.66%"
"Feb 28, 2018","7,604.34","7,707.85","7,729.05","7,604.34","-","-1.88%"
"Feb 27, 2018","7,750.19","7,809.31","7,809.31","7,717.71","-","-0.58%"
"Feb 26, 2018","7,795.37","7,724.34","7,857.18","7,713.85","-","1.97%"
"Feb 22, 2018","7,644.55","7,529.88","7,677.96","7,525.18","-","1.08%"
"Feb 21, 2018","7,562.94","7,348.50","7,562.94","7,345.43","-","2.72%"
"Feb 20, 2018","7,362.90","7,312.28","7,362.90","7,294.26","-","0.70%"
"Feb 19, 2018","7,311.42","7,341.76","7,369.16","7,311.42","-","-0.34%"
"Feb 16, 2018","7,336.28","7,326.17","7,354.31","7,297.99","-","0.38%"
"Feb 15, 2018","7,308.74","7,362.81","7,369.30","7,308.68","-","-0.04%"
"Feb 14, 2018","7,311.54","7,299.41","7,345.59","7,247.80","-","0.39%"
"Feb 13, 2018","7,283.38","7,236.62","7,283.38","7,225.90","-","0.93%"
"Feb 12, 2018","7,216.04","7,211.12","7,236.91","7,194.22","-","0.83%"
"Feb 09, 2018","7,156.65","7,195.35","7,228.30","7,116.97","-","-1.39%"
"Feb 08, 2018","7,257.30","7,289.47","7,377.21","7,251.73","-","-0.84%"
"Feb 07, 2018","7,318.89","7,353.76","7,376.78","7,290.14","-","0.44%"
"Feb 06, 2018","7,287.16","7,282.46","7,382.03","7,223.19","-","-1.41%"
"Feb 05, 2018","7,391.09","7,355.27","7,414.32","7,330.34","-","-0.34%"
"Feb 02, 2018","7,416.04","7,484.32","7,533.87","7,370.33","-","-1.04%"
"Feb 01, 2018","7,493.65","7,482.44","7,555.07","7,469.40","-","0.22%"
"Jan 31, 2018","7,477.55","7,421.87","7,478.15","7,404.36","-","0.61%"
"Jan 30, 2018","7,431.95","7,332.21","7,480.52","7,327.32","-","0.84%"
"Jan 29, 2018","7,370.37","7,345.23","7,420.64","7,331.11","-","0.33%"
"Jan 26, 2018","7,345.90","7,405.64","7,415.92","7,318.84","-","-1.10%"
"Jan 25, 2018","7,427.51","7,379.04","7,459.88","7,377.53","-","0.89%"
"Jan 24, 2018","7,362.30","7,368.32","7,368.32","7,307.27","-","-0.20%"
"Jan 23, 2018","7,377.37","7,383.12","7,400.31","7,319.72","-","0.29%"
"Jan 22, 2018","7,356.17","7,317.53","7,368.39","7,305.93","-","0.71%"
"Jan 19, 2018","7,303.95","7,380.48","7,399.02","7,268.53","-","-1.06%"
"Jan 18, 2018","7,382.07","7,349.18","7,393.77","7,343.08","-","0.64%"
"Jan 17, 2018","7,335.36","7,274.89","7,335.36","7,196.29","-","0.12%"
"Jan 16, 2018","7,326.45","7,349.34","7,373.81","7,271.16","-","-0.32%"
"Jan 15, 2018","7,350.06","7,356.03","7,391.02","7,346.80","-","0.20%"
"Jan 12, 2018","7,335.36","7,331.98","7,344.85","7,274.55","-","-0.13%"
"Jan 11, 2018","7,344.63","7,324.59","7,364.84","7,283.54","-","0.43%"
"Jan 10, 2018","7,312.89","7,288.61","7,333.20","7,254.09","-","0.58%"
"Jan 09, 2018","7,270.71","7,249.60","7,341.90","7,242.13","-","0.54%"
"Jan 05, 2018","7,231.40","7,266.60","7,266.60","7,209.82","-","-0.38%"
"Jan 04, 2018","7,259.00","7,173.40","7,271.26","7,156.97","-","1.19%"
"Jan 03, 2018","7,173.42","7,011.44","7,173.42","7,003.14","-","2.64%"
"Dec 29, 2017","6,988.90","6,990.54","7,009.71","6,942.74","-","-0.01%"
"Dec 28, 2017","6,989.90","6,998.69","7,015.16","6,903.00","-","-0.01%"
"Dec 27, 2017","6,990.37","6,973.76","7,015.05","6,910.18","-","0.46%"
"Dec 26, 2017","6,958.13","6,980.12","6,985.03","6,901.51","-","-0.29%"
"Dec 25, 2017","6,978.44","6,954.87","6,978.44","6,902.03","-","0.76%"
"Dec 22, 2017","6,925.84","6,886.30","6,955.77","6,859.68","-","0.81%"
"Dec 21, 2017","6,870.29","6,968.66","6,983.07","6,828.74","-","-1.25%"
"Dec 20, 2017","6,957.34","7,029.54","7,036.22","6,883.31","-","-1.06%"
"Dec 19, 2017","7,032.20","7,159.05","7,159.40","7,032.20","-","-1.70%"
"Dec 18, 2017","7,153.89","7,276.50","7,294.55","7,128.28","-","-1.50%"
"Dec 15, 2017","7,262.63","7,312.23","7,319.56","7,230.26","-","-0.90%"
"Dec 14, 2017","7,328.62","7,208.98","7,328.62","7,205.35","-","1.67%"
"Dec 13, 2017","7,208.08","7,349.06","7,385.59","7,205.82","-","-2.92%"
"Dec 12, 2017","7,424.62","7,408.97","7,424.62","7,356.54","-","0.59%"
"Dec 11, 2017","7,380.92","7,205.31","7,380.92","7,205.31","-","2.55%"
"Dec 08, 2017","7,197.30","7,180.38","7,251.45","7,149.26","-","0.47%"
"Dec 07, 2017","7,163.40","7,303.00","7,330.73","7,124.88","-","-2.39%"
"Dec 06, 2017","7,339.10","7,281.19","7,363.71","7,265.26","-","0.36%"
"Dec 05, 2017","7,312.92","7,323.07","7,388.95","7,294.35","-","-0.35%"
"Dec 04, 2017","7,338.32","7,282.22","7,367.22","7,266.79","-","0.39%"
"Dec 01, 2017","7,309.81","7,316.28","7,362.78","7,253.34","-","0.05%"
"Nov 30, 2017","7,306.05","7,419.19","7,422.76","7,236.41","-","-1.66%"
"Nov 29, 2017","7,429.51","7,472.41","7,500.49","7,400.74","-","-0.64%"
"Nov 28, 2017","7,477.22","7,421.17","7,477.22","7,392.66","-","0.41%"
"Nov 27, 2017","7,446.78","7,520.56","7,541.10","7,406.99","-","-0.92%"
"Nov 24, 2017","7,516.20","7,434.93","7,516.20","7,398.03","-","1.07%"
"Nov 23, 2017","7,436.65","7,532.41","7,554.73","7,423.91","-","-1.51%"
"Nov 22, 2017","7,550.78","7,632.66","7,675.71","7,514.71","-","-0.80%"
"Nov 21, 2017","7,612.00","7,535.59","7,626.37","7,505.27","-","1.38%"
"Nov 20, 2017","7,508.70","7,442.00","7,519.72","7,427.88","-","0.91%"
"Nov 17, 2017","7,440.64","7,516.57","7,522.17","7,432.49","-","-0.77%"
"Nov 16, 2017","7,498.70","7,609.93","7,610.10","7,370.47","-","-1.30%"
"Nov 15, 2017","7,597.64","7,720.85","7,728.64","7,590.30","-","-1.31%"
"Nov 14, 2017","7,698.76","7,729.44","7,779.86","7,698.76","-","-0.40%"
"Nov 13, 2017","7,729.44","7,754.12","7,834.83","7,726.18","-","-0.49%"
"Nov 10, 2017","7,767.80","7,867.77","7,894.51","7,754.52","-","-0.95%"
"Nov 09, 2017","7,842.46","7,719.71","7,842.46","7,671.87","-","1.68%"
"Nov 08, 2017","7,713.15","7,629.04","7,734.66","7,620.69","-","0.75%"
"Nov 07, 2017","7,655.88","7,479.18","7,655.88","7,479.18","-","3.01%"
"Nov 03, 2017","7,432.05","7,423.42","7,463.60","7,418.59","-","0.15%"
"Nov 02, 2017","7,420.65","7,406.38","7,427.95","7,380.70","-","0.13%"
"Nov 01, 2017","7,411.04","7,453.94","7,476.12","7,409.87","-","-0.42%"
"Oct 31, 2017","7,442.19","7,471.71","7,490.53","7,440.87","-","-0.27%"
"Oct 30, 2017","7,462.64","7,502.95","7,523.37","7,462.64","-","-0.43%"
"Oct 27, 2017","7,495.22","7,476.19","7,505.42","7,456.79","-","0.64%"
"Oct 26, 2017","7,447.38","7,425.47","7,450.40","7,398.00","-","0.43%"
"Oct 25, 2017","7,415.55","7,498.02","7,523.61","7,411.10","-","-0.81%"
"Oct 24, 2017","7,475.76","7,460.34","7,480.65","7,433.19","-","0.16%"
"Oct 23, 2017","7,463.74","7,500.61","7,513.56","7,448.69","-","-0.26%"
"Oct 20, 2017","7,483.26","7,475.72","7,483.26","7,446.05","-","0.38%"
"Oct 19, 2017","7,454.62","7,526.76","7,542.97","7,442.51","-","-0.85%"
"Oct 18, 2017","7,518.90","7,536.80","7,562.17","7,492.19","-","-0.21%"
"Oct 17, 2017","7,534.47","7,580.82","7,582.25","7,504.64","-","-0.70%"
"Oct 16, 2017","7,587.38","7,561.35","7,596.12","7,551.33","-","0.78%"
"Oct 13, 2017","7,528.55","7,489.60","7,547.91","7,472.38","-","0.67%"
"Oct 12, 2017","7,478.78","7,478.29","7,506.78","7,469.51","-","0.09%"
"Oct 11, 2017","7,472.32","7,456.22","7,507.55","7,454.33","-","0.22%"
"Oct 10, 2017","7,455.83","7,485.61","7,492.85","7,447.54","-","-0.44%"
"Oct 09, 2017","7,488.52","7,506.22","7,517.22","7,458.58","-","-0.15%"
"Oct 06, 2017","7,500.04","7,503.27","7,539.32","7,490.30","-","0.21%"
"Oct 05, 2017","7,484.26","7,461.66","7,487.36","7,422.84","-","0.28%"
"Oct 04, 2017","7,463.27","7,432.86","7,475.00","7,420.61","-","0.19%"
"Oct 03, 2017","7,448.81","7,447.76","7,479.06","7,444.71","-","0.29%"
"Oct 02, 2017","7,427.24","7,447.58","7,464.54","7,419.99","-","-0.16%"
"Sep 29, 2017","7,439.23","7,425.54","7,451.13","7,402.63","-","0.17%"
"Sep 28, 2017","7,426.45","7,409.98","7,482.06","7,394.31","-","-0.36%"
"Sep 27, 2017","7,453.10","7,477.73","7,506.49","7,441.27","-","-0.26%"
