"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2018","5,586.70","5,589.87","5,610.58","5,578.00","-","0.63%"
"Dec 28, 2018","5,551.96","5,556.76","5,600.88","5,536.90","-","0.34%"
"Dec 27, 2018","5,533.18","5,591.60","5,595.90","5,520.14","-","0.18%"
"Dec 26, 2018","5,523.15","5,513.88","5,546.00","5,497.50","-","0.27%"
"Dec 25, 2018","5,508.06","5,560.54","5,560.54","5,435.38","-","-1.62%"
"Dec 24, 2018","5,598.66","5,660.66","5,686.54","5,589.26","-","-1.36%"
"Dec 21, 2018","5,675.96","5,697.28","5,739.06","5,672.31","-","-0.91%"
"Dec 20, 2018","5,728.23","5,702.67","5,745.25","5,691.46","-","-0.36%"
"Dec 19, 2018","5,748.83","5,687.87","5,770.43","5,676.02","-","0.64%"
"Dec 18, 2018","5,712.54","5,665.55","5,712.54","5,639.29","-","0.32%"
"Dec 17, 2018","5,694.27","5,713.57","5,773.70","5,680.67","-","-0.51%"
"Dec 14, 2018","5,723.27","5,773.12","5,779.43","5,682.93","-","-1.01%"
"Dec 13, 2018","5,781.75","5,793.68","5,806.88","5,764.45","-","-0.23%"
"Dec 12, 2018","5,795.09","5,832.29","5,839.05","5,782.20","-","-0.32%"
"Dec 11, 2018","5,813.51","5,819.21","5,856.30","5,802.75","-","0.04%"
"Dec 10, 2018","5,811.38","5,834.94","5,858.45","5,799.85","-","-0.90%"
"Dec 07, 2018","5,864.08","5,867.71","5,894.96","5,840.01","-","0.26%"
"Dec 06, 2018","5,848.85","5,889.63","5,907.07","5,835.65","-","-1.26%"
"Dec 05, 2018","5,923.53","5,915.39","5,941.14","5,897.67","-","-0.81%"
"Dec 04, 2018","5,972.08","6,017.43","6,047.25","5,956.86","-","-0.72%"
"Dec 03, 2018","6,015.13","6,036.33","6,066.94","6,008.26","-","1.01%"
"Nov 30, 2018","5,955.21","5,946.31","5,968.54","5,908.60","-","-0.41%"
"Nov 29, 2018","5,979.99","5,946.02","6,005.97","5,941.27","-","1.18%"
"Nov 28, 2018","5,910.45","5,891.29","5,926.48","5,874.57","-","0.56%"
"Nov 27, 2018","5,877.41","5,879.72","5,938.37","5,856.58","-","0.35%"
"Nov 26, 2018","5,857.02","5,973.32","5,973.32","5,814.90","-","-1.95%"
"Nov 23, 2018","5,973.57","6,048.77","6,048.77","5,945.08","-","-1.35%"
"Nov 22, 2018","6,055.14","6,016.06","6,078.19","6,014.10","-","0.80%"
"Nov 21, 2018","6,006.91","5,939.89","6,020.47","5,935.31","-","0.89%"
"Nov 20, 2018","5,953.74","6,042.90","6,045.60","5,922.51","-","-1.69%"
"Nov 19, 2018","6,056.08","6,121.90","6,142.98","6,044.84","-","-1.04%"
"Nov 16, 2018","6,119.43","6,159.27","6,181.06","6,100.53","-","-0.33%"
"Nov 15, 2018","6,139.96","6,113.34","6,155.45","6,087.67","-","0.71%"
"Nov 14, 2018","6,096.43","5,975.90","6,096.91","5,939.15","-","1.78%"
"Nov 13, 2018","5,989.87","5,942.03","6,044.57","5,935.22","-","0.32%"
"Nov 12, 2018","5,970.71","5,985.96","6,030.64","5,959.60","-","0.33%"
"Nov 09, 2018","5,950.84","6,034.30","6,064.19","5,923.86","-","-2.15%"
"Nov 08, 2018","6,081.56","6,113.67","6,147.34","6,066.69","-","-0.28%"
"Nov 07, 2018","6,098.48","5,943.88","6,098.48","5,898.21","-","2.34%"
"Nov 06, 2018","5,959.03","5,910.75","5,964.76","5,893.00","-","1.57%"
"Nov 02, 2018","5,867.15","5,851.94","5,886.29","5,838.39","-","0.66%"
"Nov 01, 2018","5,828.84","5,835.97","5,858.59","5,779.32","-","-0.16%"
"Oct 31, 2018","5,838.06","5,807.27","5,847.00","5,791.75","-","0.98%"
"Oct 30, 2018","5,781.24","5,724.05","5,781.24","5,699.74","-","0.62%"
"Oct 29, 2018","5,745.63","5,680.79","5,775.13","5,671.96","-","1.20%"
"Oct 26, 2018","5,677.59","5,798.36","5,800.98","5,671.21","-","-2.45%"
"Oct 25, 2018","5,820.22","5,831.25","5,855.43","5,789.22","-","-1.06%"
"Oct 24, 2018","5,882.69","5,861.19","5,906.19","5,782.85","-","1.00%"
"Oct 23, 2018","5,824.57","5,798.59","5,824.57","5,753.27","-","-0.16%"
"Oct 22, 2018","5,834.04","5,924.62","5,931.53","5,823.91","-","-1.22%"
"Oct 19, 2018","5,906.26","6,044.88","6,051.06","5,906.26","-","-2.46%"
"Oct 18, 2018","6,055.45","6,082.74","6,083.55","6,016.82","-","-0.67%"
"Oct 17, 2018","6,096.57","6,142.45","6,149.97","6,068.14","-","-0.19%"
"Oct 16, 2018","6,108.40","6,091.60","6,109.44","6,020.33","-","0.30%"
"Oct 15, 2018","6,090.19","6,121.18","6,129.44","6,048.23","-","-0.17%"
"Oct 12, 2018","6,100.56","6,056.24","6,100.56","6,043.52","-","1.53%"
"Oct 11, 2018","6,008.89","5,983.55","6,023.12","5,921.59","-","-1.18%"
"Oct 10, 2018","6,080.66","6,097.75","6,129.10","6,030.26","-","-0.01%"
"Oct 09, 2018","6,081.21","6,183.22","6,206.38","6,073.42","-","-1.12%"
"Oct 08, 2018","6,150.12","6,165.54","6,183.19","6,075.45","-","0.01%"
"Oct 05, 2018","6,149.58","6,211.19","6,230.88","6,127.63","-","-1.13%"
"Oct 04, 2018","6,220.15","6,293.90","6,294.27","6,185.40","-","-1.26%"
"Oct 03, 2018","6,299.68","6,289.84","6,325.83","6,268.25","-","0.25%"
"Oct 02, 2018","6,284.15","6,369.02","6,369.02","6,271.17","-","-0.92%"
"Oct 01, 2018","6,342.56","6,374.09","6,376.20","6,286.86","-","-0.14%"
"Sep 28, 2018","6,351.18","6,377.10","6,377.10","6,281.12","-","-1.10%"
"Sep 27, 2018","6,422.09","6,345.85","6,428.92","6,316.92","-","1.19%"
"Sep 26, 2018","6,346.73","6,363.99","6,378.02","6,328.84","-","-0.20%"
"Sep 25, 2018","6,359.47","6,460.61","6,471.22","6,351.49","-","-1.11%"
